chunk_size,k,lambda_mult,query,accuracy_label,matched,retrieved,accuracy
500,5,0.7,서울 음식점,서울 지역 일치,5,5,1.0
500,5,0.7,경기 자전거 매장,경기 지역 일치,4,5,0.8
500,5,0.7,디지털 가능한 카페,디지털 가맹 Y,5,5,1.0
500,5,0.7,분위기 좋은 한식집,한식 업종 키워드 일치,5,5,1.0
500,5,0.7,부산 카페,부산 지역 일치,4,5,0.8
500,10,0.7,서울 음식점,서울 지역 일치,9,10,0.9
500,10,0.7,경기 자전거 매장,경기 지역 일치,9,10,0.9
500,10,0.7,디지털 가능한 카페,디지털 가맹 Y,10,10,1.0
500,10,0.7,분위기 좋은 한식집,한식 업종 키워드 일치,10,10,1.0
500,10,0.7,부산 카페,부산 지역 일치,7,10,0.7
1000,5,0.7,서울 음식점,서울 지역 일치,5,5,1.0
1000,5,0.7,경기 자전거 매장,경기 지역 일치,4,5,0.8
1000,5,0.7,디지털 가능한 카페,디지털 가맹 Y,5,5,1.0
1000,5,0.7,분위기 좋은 한식집,한식 업종 키워드 일치,5,5,1.0
1000,5,0.7,부산 카페,부산 지역 일치,4,5,0.8
1000,10,0.7,서울 음식점,서울 지역 일치,9,10,0.9
1000,10,0.7,경기 자전거 매장,경기 지역 일치,9,10,0.9
1000,10,0.7,디지털 가능한 카페,디지털 가맹 Y,10,10,1.0
1000,10,0.7,분위기 좋은 한식집,한식 업종 키워드 일치,10,10,1.0
1000,10,0.7,부산 카페,부산 지역 일치,7,10,0.7
2000,5,0.7,서울 음식점,서울 지역 일치,5,5,1.0
2000,5,0.7,경기 자전거 매장,경기 지역 일치,4,5,0.8
2000,5,0.7,디지털 가능한 카페,디지털 가맹 Y,5,5,1.0
2000,5,0.7,분위기 좋은 한식집,한식 업종 키워드 일치,5,5,1.0
2000,5,0.7,부산 카페,부산 지역 일치,4,5,0.8
2000,10,0.7,서울 음식점,서울 지역 일치,9,10,0.9
2000,10,0.7,경기 자전거 매장,경기 지역 일치,9,10,0.9
2000,10,0.7,디지털 가능한 카페,디지털 가맹 Y,10,10,1.0
2000,10,0.7,분위기 좋은 한식집,한식 업종 키워드 일치,10,10,1.0
2000,10,0.7,부산 카페,부산 지역 일치,7,10,0.7
