구분,2015년_판매금액(억원),2016년_판매금액(억원),2017년_판매금액(억원),2018년_판매금액(억원),2019년_판매금액(억원),2020년_판매금액(억원),2021년_판매금액(억원),2022년_판매금액(억원),2023년_판매금액(억원),2024년_판매금액(억원)
서울,1968.9,2500.6,2064.6,2884.2,3327.9,7183.3,5058.3,3903.4,4536.2,5201.1
부산,1022.8,1260.6,1658.8,2117.5,2592.8,5910.1,4506.9,3928.8,3763.3,5262
대구,678.5,897.9,1166.4,1578.5,1842.8,5684.2,3606.4,2868.3,2856.8,3584
인천,286,439.1,438.7,634.9,639.7,1582.1,1164.6,750.8,721.1,921.3
광주,267.1,375.3,467.2,681.3,716.9,1368.5,904.3,728,677.4,1146.6
대전,255.5,271.8,299.1,379.7,447.4,895,801.9,606.7,661.8,885.9
울산,349.4,765.6,460.9,730.5,679.7,1454.7,1270.1,1184.8,919.3,903.3
세종,34.5,32.6,33.7,50.2,63.5,159,129.4,89.7,71.1,88.3
경기,1013.6,1286.6,1030.1,1582.5,1583.9,3321.6,2615.1,1710.6,1517.8,2023
강원,211.6,241.5,235.8,153.2,189.3,510.9,379.7,252.9,237.2,275.3
충북,130.7,132.5,126.2,192.8,240.3,475.6,435.6,291.6,289.6,370.8
충남,179.4,179.1,173.3,272,334.3,624.9,506.5,340,330.9,397
전북,478.8,555.1,606.5,729.2,813.4,1611.6,1185.2,881.1,802.1,1001.7
전남,336,399.1,393.9,574.5,585.4,1334.7,1112,886.6,720.3,855.4
경북,520.4,701,598,937.4,1017.5,3080.4,1985.4,1433,1509.8,1900
경남,509,609.6,807.6,1155.2,1356.2,2831.1,2032.3,1469.8,1420.3,1705.2
제주,73.7,83.2,88.1,124.1,141.4,410.8,218.6,133.4,149.5,211.6
